prompt,skill,model,condition,rep,item_type,item_text,verdict,credit,contribution,contested,evidence_quote
qdrant-deployment-options,qdrant-deployment-options,haiku,no-skill,2,avoid,Recommends self-managed distributed Docker as the production target despite the explicit low-ops constraint,clean,0.0,0.0,,
qdrant-deployment-options,qdrant-deployment-options,haiku,with-skill,1,must,Recommends a managed option (Qdrant Cloud or Hybrid Cloud) given the no-cluster-babysitting constraint,met,1.0,1.0,,Switch to [Qdrant Cloud]...with an EU region
qdrant-deployment-options,qdrant-deployment-options,haiku,with-skill,1,must,Ties the EU data-residency requirement to Hybrid Cloud (managed control plane on the user's own infra),missing,0.0,0.0,,
qdrant-deployment-options,qdrant-deployment-options,haiku,with-skill,1,must,Suggests local mode / Docker for the early CI + laptop prototyping stage,met,1.0,1.0,,Use [local mode]...spin up Docker locally
qdrant-deployment-options,qdrant-deployment-options,haiku,with-skill,1,bonus,Warns local-mode data format is not server-compatible (don't use for production or benchmarking),met,1.0,1.0,,Local mode's data format is incompatible with server format
qdrant-deployment-options,qdrant-deployment-options,haiku,with-skill,1,bonus,"Frames the choice via decision axes — managed vs control, latency, production vs prototyping",met,1.0,1.0,,The key tradeoff:...don't use it for anything that persists beyond CI
qdrant-deployment-options,qdrant-deployment-options,haiku,with-skill,1,avoid,Recommends self-managed distributed Docker as the production target despite the explicit low-ops constraint,clean,0.0,0.0,,
qdrant-deployment-options,qdrant-deployment-options,haiku,with-skill,2,must,Recommends a managed option (Qdrant Cloud or Hybrid Cloud) given the no-cluster-babysitting constraint,met,1.0,1.0,,"Move to **Qdrant Cloud** in production. Managed backups, automatic resharding, zero-ops."
qdrant-deployment-options,qdrant-deployment-options,haiku,with-skill,2,must,Ties the EU data-residency requirement to Hybrid Cloud (managed control plane on the user's own infra),missing,0.0,0.0,,
qdrant-deployment-options,qdrant-deployment-options,haiku,with-skill,2,must,Suggests local mode / Docker for the early CI + laptop prototyping stage,met,1.0,1.0,,"Use **local mode** — zero friction, no server overhead, perfect for testing."
qdrant-deployment-options,qdrant-deployment-options,haiku,with-skill,2,bonus,Warns local-mode data format is not server-compatible (don't use for production or benchmarking),met,1.0,1.0,,collections don't port directly to server mode; you'll re-index
qdrant-deployment-options,qdrant-deployment-options,haiku,with-skill,2,bonus,"Frames the choice via decision axes — managed vs control, latency, production vs prototyping",met,1.0,1.0,,Lock in your residency strategy (Cloud vs self-hosted)
qdrant-deployment-options,qdrant-deployment-options,haiku,with-skill,2,avoid,Recommends self-managed distributed Docker as the production target despite the explicit low-ops constraint,violated,1.0,-1.0,,Move to **Docker self-hosted**. You own the ops burden
qdrant-deployment-options,qdrant-deployment-options,sonnet,no-skill,1,must,Recommends a managed option (Qdrant Cloud or Hybrid Cloud) given the no-cluster-babysitting constraint,met,1.0,1.0,,Qdrant Cloud with an EU-region cluster for production
qdrant-deployment-options,qdrant-deployment-options,sonnet,no-skill,1,must,Ties the EU data-residency requirement to Hybrid Cloud (managed control plane on the user's own infra),missing,0.0,0.0,,
qdrant-deployment-options,qdrant-deployment-options,sonnet,no-skill,1,must,Suggests local mode / Docker for the early CI + laptop prototyping stage,met,1.0,1.0,,"local/embedded mode (`:memory:` or a local on-disk path, no server) for pytest and laptop dev"
qdrant-deployment-options,qdrant-deployment-options,sonnet,no-skill,1,bonus,Warns local-mode data format is not server-compatible (don't use for production or benchmarking),absent,0.0,0.0,,
qdrant-deployment-options,qdrant-deployment-options,sonnet,no-skill,1,bonus,"Frames the choice via decision axes — managed vs control, latency, production vs prototyping",absent,0.0,0.0,,
qdrant-deployment-options,qdrant-deployment-options,sonnet,no-skill,1,avoid,Recommends self-managed distributed Docker as the production target despite the explicit low-ops constraint,clean,0.0,0.0,,
qdrant-deployment-options,qdrant-deployment-options,sonnet,no-skill,2,must,Recommends a managed option (Qdrant Cloud or Hybrid Cloud) given the no-cluster-babysitting constraint,met,1.0,1.0,,point at Qdrant Cloud with a cluster pinned to an EU region
qdrant-deployment-options,qdrant-deployment-options,sonnet,no-skill,2,must,Ties the EU data-residency requirement to Hybrid Cloud (managed control plane on the user's own infra),missing,0.0,0.0,,
qdrant-deployment-options,qdrant-deployment-options,sonnet,no-skill,2,must,Suggests local mode / Docker for the early CI + laptop prototyping stage,met,1.0,1.0,,use a real Qdrant server (Docker container) in pytest CI and on laptops
qdrant-deployment-options,qdrant-deployment-options,sonnet,no-skill,2,bonus,Warns local-mode data format is not server-compatible (don't use for production or benchmarking),absent,0.0,0.0,,
qdrant-deployment-options,qdrant-deployment-options,sonnet,no-skill,2,bonus,"Frames the choice via decision axes — managed vs control, latency, production vs prototyping",met,1.0,1.0,,"cloud avoids the ops burden you said you want to avoid, but self-hosting gives more control"
qdrant-deployment-options,qdrant-deployment-options,sonnet,no-skill,2,avoid,Recommends self-managed distributed Docker as the production target despite the explicit low-ops constraint,clean,0.0,0.0,,
qdrant-deployment-options,qdrant-deployment-options,sonnet,with-skill,1,must,Recommends a managed option (Qdrant Cloud or Hybrid Cloud) given the no-cluster-babysitting constraint,met,1.0,1.0,,Go straight to **Qdrant Cloud** with a cluster explicitly provisioned in an **EU region**
qdrant-deployment-options,qdrant-deployment-options,sonnet,with-skill,1,must,Ties the EU data-residency requirement to Hybrid Cloud (managed control plane on the user's own infra),met,1.0,1.0,,reach for Hybrid Cloud instead of plain Qdrant Cloud if EU residency specifically requires data to stay on infrastructure you control
qdrant-deployment-options,qdrant-deployment-options,sonnet,with-skill,1,must,Suggests local mode / Docker for the early CI + laptop prototyping stage,met,1.0,1.0,,Use Qdrant's Python **local mode**...run the real server via **Docker**
qdrant-deployment-options,qdrant-deployment-options,sonnet,with-skill,1,bonus,Warns local-mode data format is not server-compatible (don't use for production or benchmarking),met,1.0,1.0,,Avoid local mode in production or for benchmarking** — different (unoptimized) data format/path than the server
qdrant-deployment-options,qdrant-deployment-options,sonnet,with-skill,1,bonus,"Frames the choice via decision axes — managed vs control, latency, production vs prototyping",met,1.0,1.0,,distinction determines which of the two production paths you take
qdrant-deployment-options,qdrant-deployment-options,sonnet,with-skill,1,avoid,Recommends self-managed distributed Docker as the production target despite the explicit low-ops constraint,clean,0.0,0.0,,
qdrant-deployment-options,qdrant-deployment-options,sonnet,with-skill,2,must,Recommends a managed option (Qdrant Cloud or Hybrid Cloud) given the no-cluster-babysitting constraint,met,1.0,1.0,,"Go with **Qdrant Cloud**, provisioned in an **EU region**"
qdrant-deployment-options,qdrant-deployment-options,sonnet,with-skill,2,must,Ties the EU data-residency requirement to Hybrid Cloud (managed control plane on the user's own infra),met,1.0,1.0,,Hybrid Cloud (Qdrant Cloud control plane over your own Kubernetes) if EU residency specifically requires the data to sit inside infrastructure you already control
qdrant-deployment-options,qdrant-deployment-options,sonnet,with-skill,2,must,Suggests local mode / Docker for the early CI + laptop prototyping stage,met,1.0,1.0,,pytest CI**: use Qdrant's **local mode
qdrant-deployment-options,qdrant-deployment-options,sonnet,with-skill,2,bonus,Warns local-mode data format is not server-compatible (don't use for production or benchmarking),met,1.0,1.0,,its data format isn't compatible with the server
qdrant-deployment-options,qdrant-deployment-options,sonnet,with-skill,2,bonus,"Frames the choice via decision axes — managed vs control, latency, production vs prototyping",met,1.0,1.0,,infrastructure you already control
qdrant-deployment-options,qdrant-deployment-options,sonnet,with-skill,2,avoid,Recommends self-managed distributed Docker as the production target despite the explicit low-ops constraint,clean,0.0,0.0,,
qdrant-edge,qdrant-edge,haiku,no-skill,1,must,The empty keyword results come from Edge having no background optimizer: call optimize after bulk writes to build the sparse/BM25 index and reclaim deletes — nothing is indexed until then.,missing,0.0,0.0,,
qdrant-edge,qdrant-edge,haiku,no-skill,1,must,"There's no built-in .sync(); pull via the dual-shard pattern (a mutable local-write shard plus an immutable shard restored from a server snapshot, queried together and refreshed on a schedule), downloading the snapshot yourself and applying it with unpack_snapshot/update_from_snapshot.",missing,0.0,0.0,,
qdrant-edge,qdrant-edge,haiku,no-skill,1,must,Push is your own dual-write: enqueue each local upsert to a background worker that upserts to the server and buffers while offline.,missing,0.0,0.0,,
qdrant-edge,qdrant-edge,haiku,no-skill,1,must,"Don't add a BM25 library — BM25 is built into Edge (Bm25/Bm25Config, embed_document/embed_query) and is wire-compatible with server BM25.",missing,0.0,0.0,,
qdrant-edge,qdrant-edge,haiku,no-skill,1,must,"Keep the custom RRF: Edge queries one vector field per request (using) and doesn't fuse at query time, so combining rankings in application code is correct.",missing,0.0,0.0,,
qdrant-edge,qdrant-edge,haiku,no-skill,1,bonus,"Refresh incrementally with a partial snapshot from snapshot_manifest, not a full snapshot each cycle.",absent,0.0,0.0,,
qdrant-edge,qdrant-edge,haiku,no-skill,1,bonus,Dense embeddings aren't in Edge — generate them on device with the separate fastembed package.,absent,0.0,0.0,,
qdrant-edge,qdrant-edge,haiku,no-skill,1,bonus,"Edge is beta — pin the version, since the API drifts.",absent,0.0,0.0,,
qdrant-edge,qdrant-edge,haiku,no-skill,1,avoid,Blames the empty keyword search on BM25 setup or re-indexing instead of the missing optimize.,violated,1.0,-1.0,,haven't indexed the payload fields for keyword search
qdrant-edge,qdrant-edge,haiku,no-skill,1,avoid,"Expects a built-in bidirectional .sync()/push, or untars/merges snapshot segments by hand.",clean,0.0,0.0,,
qdrant-edge,qdrant-edge,haiku,no-skill,1,avoid,"Drops the custom fusion because ""Edge handles hybrid,"" or swaps embed_document/embed_query.",violated,1.0,-1.0,,You don't need to write RRF; use a simple scoring formula
qdrant-edge,qdrant-edge,haiku,no-skill,2,must,The empty keyword results come from Edge having no background optimizer: call optimize after bulk writes to build the sparse/BM25 index and reclaim deletes — nothing is indexed until then.,missing,0.0,0.0,,
qdrant-edge,qdrant-edge,haiku,no-skill,2,must,"There's no built-in .sync(); pull via the dual-shard pattern (a mutable local-write shard plus an immutable shard restored from a server snapshot, queried together and refreshed on a schedule), downloading the snapshot yourself and applying it with unpack_snapshot/update_from_snapshot.",missing,0.0,0.0,,
qdrant-edge,qdrant-edge,haiku,no-skill,2,must,Push is your own dual-write: enqueue each local upsert to a background worker that upserts to the server and buffers while offline.,missing,0.0,0.0,,
qdrant-edge,qdrant-edge,haiku,no-skill,2,must,"Don't add a BM25 library — BM25 is built into Edge (Bm25/Bm25Config, embed_document/embed_query) and is wire-compatible with server BM25.",met,1.0,1.0,,No BM25 lib needed — use `text_index` on your payload fields
qdrant-edge,qdrant-edge,haiku,no-skill,2,must,"Keep the custom RRF: Edge queries one vector field per request (using) and doesn't fuse at query time, so combining rankings in application code is correct.",missing,0.0,0.0,,
qdrant-edge,qdrant-edge,haiku,no-skill,2,bonus,"Refresh incrementally with a partial snapshot from snapshot_manifest, not a full snapshot each cycle.",absent,0.0,0.0,,
qdrant-edge,qdrant-edge,haiku,no-skill,2,bonus,Dense embeddings aren't in Edge — generate them on device with the separate fastembed package.,absent,0.0,0.0,,
qdrant-edge,qdrant-edge,haiku,no-skill,2,bonus,"Edge is beta — pin the version, since the API drifts.",absent,0.0,0.0,,
qdrant-edge,qdrant-edge,haiku,no-skill,2,avoid,Blames the empty keyword search on BM25 setup or re-indexing instead of the missing optimize.,violated,1.0,-1.0,,"if you're using BM25, confirm the `payload_index_params` are set"
qdrant-edge,qdrant-edge,haiku,no-skill,2,avoid,"Expects a built-in bidirectional .sync()/push, or untars/merges snapshot segments by hand.",clean,0.0,0.0,,
qdrant-edge,qdrant-edge,haiku,no-skill,2,avoid,"Drops the custom fusion because ""Edge handles hybrid,"" or swaps embed_document/embed_query.",violated,1.0,-1.0,,Don't write your own RRF
qdrant-edge,qdrant-edge,haiku,with-skill,1,must,The empty keyword results come from Edge having no background optimizer: call optimize after bulk writes to build the sparse/BM25 index and reclaim deletes — nothing is indexed until then.,met,1.0,1.0,,"Edge has no background optimizer. After bulk writes, you *must* call `shard.optimize()`"
qdrant-edge,qdrant-edge,haiku,with-skill,1,must,"There's no built-in .sync(); pull via the dual-shard pattern (a mutable local-write shard plus an immutable shard restored from a server snapshot, queried together and refreshed on a schedule), downloading the snapshot yourself and applying it with unpack_snapshot/update_from_snapshot.",met,1.0,1.0,,"restored from a server snapshot on a schedule (download the snapshot, then `unpack_snapshot` + `update_from_snapshot`)"
qdrant-edge,qdrant-edge,haiku,with-skill,1,must,Push is your own dual-write: enqueue each local upsert to a background worker that upserts to the server and buffers while offline.,met,1.0,1.0,,dual-write it to a queue and let a background worker upsert to the server (buffered while offline)
qdrant-edge,qdrant-edge,haiku,with-skill,1,must,"Don't add a BM25 library — BM25 is built into Edge (Bm25/Bm25Config, embed_document/embed_query) and is wire-compatible with server BM25.",met,1.0,1.0,,Edge already has BM25 built in. Don't pip install another one.
qdrant-edge,qdrant-edge,haiku,with-skill,1,must,"Keep the custom RRF: Edge queries one vector field per request (using) and doesn't fuse at query time, so combining rankings in application code is correct.",met,1.0,1.0,,"does NOT fuse dense+sparse at query time—run each leg separately, then combine rankings in application code"
qdrant-edge,qdrant-edge,haiku,with-skill,1,bonus,"Refresh incrementally with a partial snapshot from snapshot_manifest, not a full snapshot each cycle.",met,1.0,1.0,,"Refresh incrementally with partial snapshots built from `snapshot_manifest`, not full snapshots every time."
qdrant-edge,qdrant-edge,haiku,with-skill,1,bonus,Dense embeddings aren't in Edge — generate them on device with the separate fastembed package.,met,1.0,1.0,,Use `fastembed` (separate package) to generate dense embeddings on device.
qdrant-edge,qdrant-edge,haiku,with-skill,1,bonus,"Edge is beta — pin the version, since the API drifts.",absent,0.0,0.0,,
qdrant-edge,qdrant-edge,haiku,with-skill,1,avoid,Blames the empty keyword search on BM25 setup or re-indexing instead of the missing optimize.,clean,0.0,0.0,,
qdrant-edge,qdrant-edge,haiku,with-skill,1,avoid,"Expects a built-in bidirectional .sync()/push, or untars/merges snapshot segments by hand.",clean,0.0,0.0,,
qdrant-edge,qdrant-edge,haiku,with-skill,1,avoid,"Drops the custom fusion because ""Edge handles hybrid,"" or swaps embed_document/embed_query.",clean,0.0,0.0,,
qdrant-edge,qdrant-edge,haiku,with-skill,2,must,The empty keyword results come from Edge having no background optimizer: call optimize after bulk writes to build the sparse/BM25 index and reclaim deletes — nothing is indexed until then.,met,1.0,1.0,,Edge has **no background optimizer**
qdrant-edge,qdrant-edge,haiku,with-skill,2,must,"There's no built-in .sync(); pull via the dual-shard pattern (a mutable local-write shard plus an immutable shard restored from a server snapshot, queried together and refreshed on a schedule), downloading the snapshot yourself and applying it with unpack_snapshot/update_from_snapshot.",met,1.0,1.0,,There is no built-in `.sync()`. Use the **dual-shard pattern**
qdrant-edge,qdrant-edge,haiku,with-skill,2,must,Push is your own dual-write: enqueue each local upsert to a background worker that upserts to the server and buffers while offline.,met,1.0,1.0,,enqueue it for a background worker to upsert to Cloud. The worker buffers while offline
qdrant-edge,qdrant-edge,haiku,with-skill,2,must,"Don't add a BM25 library — BM25 is built into Edge (Bm25/Bm25Config, embed_document/embed_query) and is wire-compatible with server BM25.",met,1.0,1.0,,"Edge ships BM25 built-in (`Bm25`, `Bm25Config`, `embed_document`, `embed_query`), and it's wire-compatible"
qdrant-edge,qdrant-edge,haiku,with-skill,2,must,"Keep the custom RRF: Edge queries one vector field per request (using) and doesn't fuse at query time, so combining rankings in application code is correct.",met,1.0,1.0,,one `using` field per request)... Fuse rankings in your code—RRF is fine to write yourself
qdrant-edge,qdrant-edge,haiku,with-skill,2,bonus,"Refresh incrementally with a partial snapshot from snapshot_manifest, not a full snapshot each cycle.",met,1.0,1.0,,"Use partial snapshots from `snapshot_manifest` to refresh incrementally, not full snapshots each cycle"
qdrant-edge,qdrant-edge,haiku,with-skill,2,bonus,Dense embeddings aren't in Edge — generate them on device with the separate fastembed package.,absent,0.0,0.0,,
qdrant-edge,qdrant-edge,haiku,with-skill,2,bonus,"Edge is beta — pin the version, since the API drifts.",absent,0.0,0.0,,
qdrant-edge,qdrant-edge,haiku,with-skill,2,avoid,Blames the empty keyword search on BM25 setup or re-indexing instead of the missing optimize.,clean,0.0,0.0,,
qdrant-edge,qdrant-edge,haiku,with-skill,2,avoid,"Expects a built-in bidirectional .sync()/push, or untars/merges snapshot segments by hand.",clean,0.0,0.0,,
qdrant-edge,qdrant-edge,haiku,with-skill,2,avoid,"Drops the custom fusion because ""Edge handles hybrid,"" or swaps embed_document/embed_query.",clean,0.0,0.0,,
